City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,novaya lyalya,59.055,60.599,1.09,98,100,6.13,RU,1678370244
1,severo-kurilsk,50.6789,156.125,-2.92,84,32,7.22,RU,1678370244
2,faanui,-16.4833,-151.75,27.88,73,79,4.06,PF,1678370245
3,barrow,71.2906,-156.7887,-21.99,77,0,6.17,US,1678369963
4,puerto ayora,-0.7393,-90.3518,25.31,94,100,0.89,EC,1678370245
5,qaanaaq,77.484,-69.3632,-14.71,65,6,3.46,GL,1678370245
6,narsaq,60.9167,-46.05,-4.56,65,100,3.25,GL,1678370245
7,adelaide,-34.9333,138.6,16.73,81,40,3.09,AU,1678369737
8,madang,-5.2246,145.7966,24.61,93,100,2.11,PG,1678370246
9,jamestown,42.097,-79.2353,-1.66,99,100,2.24,US,1678370246
10,ushuaia,-54.8,-68.3,8.81,46,75,4.63,AR,1678370190
11,busselton,-33.65,115.3333,18.11,86,89,4.91,AU,1678370246
12,vila franca do campo,37.7167,-25.4333,17.23,91,92,8.25,PT,1678370246
13,lebu,-37.6167,-73.65,15.62,89,100,2.52,CL,1678370246
14,statesboro,32.4488,-81.7832,12.74,66,100,0.0,US,1678370247
15,mataura,-46.1927,168.8643,8.59,98,4,1.13,NZ,1678370247
16,pleshanovo,52.8333,53.4833,1.53,90,100,7.4,RU,1678370247
17,nikolskoye,59.7035,30.7861,-6.06,90,100,3.86,RU,1678370247
18,vilyuysk,63.7553,121.6247,-12.69,93,100,4.74,RU,1678370247
19,fortuna,40.5982,-124.1573,7.21,87,100,9.26,US,1678370247
20,naze,28.3667,129.4833,14.51,80,100,1.68,JP,1678370248
21,podgornoye,51.735,39.1496,6.12,87,75,6.0,RU,1678370248
22,petropavlovsk-kamchatskiy,53.0452,158.6483,-9.67,79,0,4.0,RU,1678370099
23,samarai,-10.6167,150.6667,27.81,76,81,2.87,PG,1678370248
24,marrakesh,31.6315,-8.0083,25.04,50,0,3.09,MA,1678370248
25,castro,-24.7911,-50.0119,24.15,68,72,2.14,BR,1678370248
26,victoria,22.2855,114.1577,22.4,82,41,2.72,HK,1678370066
27,albany,42.6001,-73.9662,1.07,67,17,2.24,US,1678370248
28,daoukro,7.0591,-3.9631,39.25,28,26,0.85,CI,1678370249
29,mehamn,71.0357,27.8492,-5.05,49,100,5.14,NO,1678370249
30,dongsheng,39.8161,109.9776,9.0,21,0,5.31,CN,1678370249
31,lyngdal,58.1376,7.07,2.16,44,7,4.49,NO,1678370249
32,rikitea,-23.1203,-134.9692,25.76,83,33,4.61,PF,1678370249
33,bilasipara,26.232,90.2347,25.93,27,0,3.79,IN,1678370249
34,hambantota,6.1241,81.1185,28.19,83,20,3.6,LK,1678370250
35,opuwo,-18.0607,13.84,35.37,14,48,4.55,NA,1678370250
36,miramar,25.9873,-80.2323,25.01,65,92,1.79,US,1678370250
37,shankargarh,25.1833,81.6167,27.03,21,74,2.28,IN,1678370250
38,upernavik,72.7868,-56.1549,-21.4,92,38,1.37,GL,1678370250
39,khatanga,71.9667,102.5,-26.01,97,100,5.44,RU,1678370250
40,bucerias,20.75,-105.3333,19.99,88,100,2.57,MX,1678370251
41,puerto escondido,15.85,-97.0667,25.52,66,0,1.47,MX,1678370251
42,lev tolstoy,53.2134,39.446,1.93,100,100,6.48,RU,1678370251
43,arraial do cabo,-22.9661,-42.0278,31.92,58,0,7.72,BR,1678370251
44,grand gaube,-20.0064,57.6608,27.43,79,57,0.89,MU,1678370251
45,hermanus,-34.4187,19.2345,17.11,82,100,3.85,ZA,1678370251
46,porto novo,6.4965,2.6036,32.9,53,23,5.46,BJ,1678370251
47,linxia,35.6003,103.2064,11.4,28,100,0.88,CN,1678370185
48,buzmeyin,38.0507,58.2056,24.85,38,75,0.0,TM,1678370252
49,cidreira,-30.1811,-50.2056,28.97,59,26,2.98,BR,1678370252
50,ancud,-41.8697,-73.8203,11.37,94,100,3.09,CL,1678370252
51,la rioja,42.25,-2.5,12.88,53,100,9.2,ES,1678370252
52,kindersley,51.4668,-109.1682,-19.99,84,100,7.2,CA,1678370252
53,port hedland,-20.3167,118.5667,30.03,79,61,5.66,AU,1678370252
54,aklavik,68.2191,-135.0107,-10.38,89,100,11.67,CA,1678370252
55,havelock,34.8791,-76.9013,9.41,64,2,1.79,US,1678370253
56,pacifica,37.6138,-122.4869,8.41,82,100,2.24,US,1678370253
57,bambous virieux,-20.3428,57.7575,27.34,94,75,2.57,MU,1678370253
58,bullhead city,35.1478,-114.5683,12.27,37,0,1.79,US,1678370253
59,tiznit,29.5833,-9.5,23.14,42,7,4.23,MA,1678370253
60,avarua,-21.2078,-159.775,25.03,94,75,1.03,CK,1678370253
61,gornyy,55.1153,83.9059,-14.03,96,90,2.48,RU,1678370253
62,samana,19.2056,-69.3369,23.12,83,20,2.06,DO,1678370254
63,bogorodskoye,56.55,37.8833,-1.66,80,100,4.37,RU,1678370254
64,georgetown,5.4112,100.3354,27.97,78,20,1.54,MY,1678370215
65,auki,-8.7676,160.7034,24.26,95,100,1.01,SB,1678370254
66,hofn,64.2539,-15.2082,-1.99,40,75,9.26,IS,1678370254
67,high level,58.5169,-117.136,-24.94,77,0,1.03,CA,1678370254
68,nakodar,31.1258,75.4733,22.46,20,0,2.38,IN,1678370254
69,hobart,-42.8794,147.3294,14.47,71,40,4.12,AU,1678370255
70,esperance,-33.8667,121.9,19.09,77,0,6.16,AU,1678370255
71,isangel,-19.55,169.2667,24.37,73,8,4.43,VU,1678370255
72,punta arenas,-53.15,-70.9167,7.06,61,40,7.72,CL,1678369958
73,san juan,-31.5375,-68.5364,29.15,36,0,2.82,AR,1678369998
74,port alfred,-33.5906,26.891,25.1,70,0,1.34,ZA,1678370255
75,mackay,-21.15,149.2,24.82,86,96,4.73,AU,1678370257
76,saskylakh,71.9167,114.0833,-22.46,100,100,1.24,RU,1678370257
77,butaritari,3.0707,172.7902,27.21,78,100,4.37,KI,1678370257
78,mango,27.9797,-82.3065,21.73,77,0,3.6,US,1678370152
79,nanortalik,60.1432,-45.2371,-1.4,61,83,2.97,GL,1678370257
80,gat,31.61,34.7642,19.11,2,2,4.89,IL,1678370258
81,yellowknife,62.456,-114.3525,-18.71,84,100,3.6,CA,1678370258
82,bor,56.3567,44.0669,0.96,84,100,4.35,RU,1678370258
83,xiongzhou,25.1167,114.3,19.98,48,0,1.07,CN,1678370258
84,cobija,-11.0267,-68.7692,28.1,78,100,3.09,BO,1678370258
85,omboue,-1.5746,9.2618,29.0,71,99,4.3,GA,1678370258
86,kayerkan,69.3497,87.7602,-24.25,97,100,3.56,RU,1678370259
87,jaguey grande,22.5269,-81.1286,26.39,59,23,3.08,CU,1678370259
88,zhigansk,66.7697,123.3711,-15.55,91,100,6.13,RU,1678370259
89,bethel,41.3712,-73.414,3.97,62,8,1.79,US,1678370259
90,karratha,-20.7377,116.8463,30.08,63,70,6.45,AU,1678370260
91,klaksvik,62.2266,-6.589,-0.49,56,100,7.72,FO,1678370260
92,cabo san lucas,22.8909,-109.9124,18.17,48,75,2.06,MX,1678370260
93,north platte,41.1239,-100.7654,-3.06,95,100,2.06,US,1678370260
94,saint-philippe,-21.3585,55.7679,27.28,93,94,5.09,RE,1678370260
95,carnarvon,-24.8667,113.6333,24.78,67,1,10.2,AU,1678370260
96,tuktoyaktuk,69.4541,-133.0374,-22.14,92,100,2.56,CA,1678370261
97,coquimbo,-29.9533,-71.3436,19.85,77,20,2.06,CL,1678370111
98,kapaa,22.0752,-159.319,18.99,70,22,4.28,US,1678370261
99,souillac,-20.5167,57.5167,27.21,94,75,2.57,MU,1678370261
100,vaini,-21.2,-175.2,23.09,88,75,4.63,TO,1678370261
101,kulhudhuffushi,6.6221,73.07,27.57,74,73,4.86,MV,1678370261
102,kichera,55.9375,110.0997,-10.85,84,93,1.8,RU,1678370261
103,thinadhoo,0.5333,72.9333,27.72,74,92,3.36,MV,1678370261
104,atuona,-9.8,-139.0333,26.29,76,24,3.95,PF,1678370262
105,gumrak,48.7826,44.3824,10.95,71,0,5.0,RU,1678370262
106,kudahuvadhoo,2.6708,72.8944,27.83,76,70,7.09,MV,1678370262
107,nemuro,43.3236,145.575,-1.65,85,85,3.36,JP,1678370262
108,mahebourg,-20.4081,57.7,27.36,94,75,2.57,MU,1678370263
109,pacific grove,36.6177,-121.9166,7.03,90,100,3.06,US,1678370263
110,kiruna,67.8557,20.2251,-6.49,63,100,5.66,SE,1678370146
111,port elizabeth,-33.918,25.5701,25.61,65,0,6.17,ZA,1678370263
112,leninskoye,41.7589,69.3864,12.45,70,100,1.81,KZ,1678370263
113,saint george,37.1041,-113.5841,4.99,45,100,1.62,US,1678370263
114,elliot lake,46.3834,-82.6331,-7.06,70,23,4.02,CA,1678370264
115,vostok,46.4856,135.8833,-8.1,96,100,1.71,RU,1678370264
116,severnoye,56.3491,78.3619,-14.26,97,51,3.12,RU,1678370264
117,wanning,18.8003,110.3967,20.43,80,8,0.73,CN,1678370264
118,fraga,41.5229,0.3489,21.99,40,76,5.97,ES,1678370264
119,san patricio,28.017,-97.5169,23.26,87,45,4.72,US,1678370264
120,bluff,-46.6,168.3333,12.32,84,13,2.53,NZ,1678370264
121,carutapera,-1.195,-46.02,28.84,70,93,2.29,BR,1678370265
122,vestmanna,62.1564,-7.1664,-1.49,86,100,7.2,FO,1678370265
123,ontario,34.0633,-117.6509,9.25,83,0,2.06,US,1678370265
124,taltal,-25.4,-70.4833,22.45,71,0,2.32,CL,1678370265
125,tasiilaq,65.6145,-37.6368,-6.64,92,100,7.39,GL,1678370266
126,le port,-20.9373,55.2919,27.98,85,67,2.7,RE,1678370266
127,chuy,-33.6971,-53.4616,27.77,53,0,3.34,UY,1678370266
128,talakan,50.3167,130.3667,-9.12,96,92,1.66,RU,1678370266
129,dauriya,49.9333,116.8667,-5.29,87,100,1.93,RU,1678370266
130,bauchi,10.5,10.0,38.53,7,100,4.24,NG,1678370266
131,thompson,55.7435,-97.8558,-29.91,69,20,1.03,CA,1678370267
132,victor harbor,-35.5667,138.6167,15.38,81,77,0.42,AU,1678370267
133,bredasdorp,-34.5322,20.0403,18.67,73,86,5.25,ZA,1678370267
134,xushan,30.1764,121.2457,18.96,59,0,2.05,CN,1678370267
135,bubaque,11.2833,-15.8333,25.88,69,65,3.63,GW,1678370268
136,porbandar,21.6422,69.6093,28.52,38,0,4.65,IN,1678370268
137,calderitas,18.55,-88.25,23.06,94,40,0.0,MX,1678370268
138,new norfolk,-42.7826,147.0587,14.28,67,100,2.24,AU,1678370268
139,belmonte,-15.8631,-38.8828,27.84,67,100,1.49,BR,1678370268
140,roald,62.5833,6.1333,-2.17,58,0,4.63,NO,1678370268
141,hovd,48.0056,91.6419,-3.32,46,0,1.74,MN,1678370268
142,broome,42.2506,-75.833,-0.3,75,100,2.68,US,1678370269
143,bengkulu,-3.8004,102.2655,25.18,90,97,3.34,ID,1678370269
144,spornoye,50.8448,37.2913,8.56,72,53,5.2,RU,1678370269
145,hukay,13.8452,120.7029,24.64,79,50,3.95,PH,1678370269
146,hithadhoo,-0.6,73.0833,27.98,70,35,1.63,MV,1678370270
147,sur,22.5667,59.5289,26.14,43,1,4.51,OM,1678370270
148,seoul,37.5683,126.9778,6.78,94,0,2.57,KR,1678370270
149,luwuk,-0.9516,122.7875,25.34,87,93,1.08,ID,1678370270
150,kruisfontein,-34.0033,24.7314,24.38,60,0,7.45,ZA,1678370270
151,serebryanyy bor,56.8,124.8,-18.61,99,100,1.82,RU,1678370270
152,cape town,-33.9258,18.4232,22.16,78,75,5.14,ZA,1678369906
153,chumikan,54.7183,135.315,-13.64,97,100,1.77,RU,1678370271
154,errol,56.3923,-3.2128,4.87,70,20,6.69,GB,1678370271
155,riyadh,24.6877,46.7219,33.08,12,65,5.39,SA,1678369592
156,hami,42.8,93.45,10.56,30,100,7.98,CN,1678369978
157,kodiak,57.79,-152.4072,1.82,90,6,3.61,US,1678370271
158,hilo,19.7297,-155.09,23.49,92,4,0.89,US,1678370272
159,muriwai beach,-36.8167,174.45,19.64,90,100,4.63,NZ,1678370272
160,caravelas,-17.7125,-39.2481,30.22,56,100,2.44,BR,1678370272
161,vestmannaeyjar,63.4427,-20.2734,0.55,43,0,2.57,IS,1678370272
162,pevek,69.7008,170.3133,-26.01,98,62,0.92,RU,1678370273
163,lata,40.1629,-8.3327,17.26,81,30,6.47,PT,1678370273
164,robe,-37.1833,139.75,15.79,86,76,1.94,AU,1678370273
165,laguna,38.421,-121.4238,6.29,85,0,3.6,US,1678370273
166,lukiv,51.0521,25.4006,3.99,97,100,4.32,UA,1678370274
167,makakilo city,21.3469,-158.0858,20.34,69,85,8.31,US,1678370274
168,ribeira grande,38.5167,-28.7,18.22,94,75,13.41,PT,1678370274
169,olga,43.7444,135.2892,-1.47,93,100,3.67,RU,1678370133
170,lavrentiya,65.5833,-171.0,-21.82,88,59,1.74,RU,1678370274
171,alice springs,-23.7,133.8833,17.75,52,6,2.57,AU,1678370274
172,luwingu,-10.2621,29.9271,23.1,75,91,2.03,ZM,1678370275
173,harper,4.375,-7.7169,28.85,73,85,1.04,LR,1678370275
174,rayadrug,14.7,76.8667,27.2,31,77,5.78,IN,1678370275
175,kaitangata,-46.2817,169.8464,10.79,96,78,1.79,NZ,1678370275
176,ahuimanu,21.4447,-157.8378,20.99,72,33,1.34,US,1678370275
177,sao sebastiao,-23.76,-45.4097,31.33,50,27,1.49,BR,1678370275
178,rio gallegos,-51.6226,-69.2181,10.03,46,0,7.2,AR,1678370200
179,tilichiki,60.4667,166.1,-5.15,97,100,2.43,RU,1678370276
180,iqaluit,63.7506,-68.5145,-12.15,85,75,8.75,CA,1678370276
181,broken hill,-31.95,141.4333,17.69,43,0,3.6,AU,1678370276
182,dikson,73.5069,80.5464,-18.77,93,98,7.82,RU,1678370276
183,nyurba,63.2842,118.3319,-6.5,94,100,3.03,RU,1678370276
184,college,64.8569,-147.8028,-0.79,92,100,5.66,US,1678370277
185,mounana,-1.4085,13.1586,33.95,38,60,1.01,GA,1678370277
186,dhidhdhoo,6.8833,73.1,27.57,74,52,4.22,MV,1678370277
187,vanavara,60.34,102.2797,-18.88,90,100,5.1,RU,1678370277
188,pangnirtung,66.1451,-65.7125,-13.0,92,20,2.57,CA,1678370277
189,morro bay,35.3658,-120.8499,8.76,90,90,0.45,US,1678370277
190,tiksi,71.6872,128.8694,-33.53,100,49,1.18,RU,1678370277
191,sakete,6.7362,2.6587,33.9,45,57,6.28,BJ,1678370278
192,chokurdakh,70.6333,147.9167,-31.51,100,90,2.75,RU,1678370278
193,goderich,43.7501,-81.7165,-1.16,68,76,2.06,CA,1678370278
194,geraldton,-28.7667,114.6,21.23,73,75,4.12,AU,1678370278
195,muros,42.7762,-9.0603,16.72,80,10,9.85,ES,1678370278
196,ierapetra,35.01,25.7353,18.41,69,3,0.89,GR,1678370278
197,mar del plata,-38.0023,-57.5575,26.57,77,0,4.63,AR,1678369640
198,bela vista,-22.1089,-56.5211,26.56,82,71,1.9,BR,1678370279
199,ponta do sol,32.6667,-17.1,24.84,83,5,2.48,PT,1678370279
200,tuatapere,-46.1333,167.6833,10.04,87,0,2.03,NZ,1678370279
201,tsumeb,-19.2333,17.7167,34.63,15,39,3.42,NA,1678370279
202,igrim,63.1906,64.4162,-7.53,90,100,7.01,RU,1678370279
203,washington,47.5001,-120.5015,-0.12,91,99,1.33,US,1678370006
204,turukhansk,65.8167,87.9833,-24.64,98,46,2.33,RU,1678370280
205,beyneu,45.3167,55.2,11.17,48,100,5.3,KZ,1678370280
206,margate,51.3813,1.3862,10.39,97,100,4.02,GB,1678369522
207,terrace,54.5163,-128.6035,-3.05,68,0,6.69,CA,1678370280
208,tanggu,39.0211,117.6469,11.98,34,92,3.7,CN,1678370280
209,bathsheba,13.2167,-59.5167,28.34,69,20,3.09,BB,1678370280
210,los llanos de aridane,28.6585,-17.9182,21.86,85,20,2.24,ES,1678370280
211,port blair,11.6667,92.75,26.69,71,3,3.55,IN,1678370281
212,atlantis,-33.5667,18.4834,21.09,84,94,3.68,ZA,1678370281
213,vardo,70.3705,31.1107,-9.01,86,100,11.32,NO,1678370281
214,provideniya,64.3833,-173.3,-16.28,74,9,1.0,RU,1678370281
215,tashtagol,52.7657,87.8894,-6.89,97,100,1.63,RU,1678370281
216,half moon bay,37.4636,-122.4286,8.51,84,100,0.0,US,1678370281
217,talnakh,69.4865,88.3972,-25.26,97,100,5.19,RU,1678370282
218,port hardy,50.6996,-127.4199,5.0,100,20,2.06,CA,1678370282
219,sines,37.9562,-8.8698,17.94,90,7,6.26,PT,1678370282
220,srednekolymsk,67.45,153.6833,-33.39,99,100,0.71,RU,1678370282
221,floriano,-6.7669,-43.0225,33.86,38,31,3.19,BR,1678370282
222,cherskiy,68.75,161.3,-23.89,91,100,2.25,RU,1678370282
223,lashio,22.9333,97.75,21.18,32,100,1.37,MM,1678370282
